0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion_label
-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.667408,-2.9838283,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.849204,-2.6678061,0.95902014,1.6281663,-2.7366893,0.25424105,2.6753771,-1.7611655,-1.8864743,-0.97562,-0.37943736,0.40027285,-3.0440438,-2.901258,-0.10924798,-0.86356527,-3.3332694,-1.9784652,0.45708156,-1.3991097,-2.9268556,0.0139566725,-0.4907339,-0.5709055,0.040399306,-1.2072175,-1.5949816,-1.4364872,neutral
-719.1283,70.20157,1.168397,13.122541,7.83695,14.41129,-4.1113596,4.468973,-3.5393667,-3.6586075,-7.648504,-1.4770775,3.031821,-2.4618676,0.59473425,0.9784502,-2.8361645,0.073815584,1.7593119,-2.0631855,-2.3056278,-0.66225374,-0.9478812,0.49746612,-1.6925769,-3.4717655,-0.26927552,-0.77677816,-4.0910745,-1.2800432,0.27546003,-2.5214698,-2.9876728,0.4097349,-0.48418432,-1.3983908,0.25520355,-0.9849785,-2.093061,-1.0407912,neutral
-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.878103,4.5095577,-4.476109,-2.6715493,-7.4992833,-2.9622657,1.8734846,-2.9128888,0.525692,1.3727965,-2.364831,-2.0204954,1.6025525,-1.5617238,-3.720789,-1.8949177,0.37380674,1.2185684,-2.7771025,-2.725419,-0.8127444,-0.5070557,-2.857712,-1.1507949,-0.0021191328,-0.90915155,-3.0459552,-0.37329435,-0.84914505,-0.9221047,-0.17031977,-1.1444225,-1.7256124,-1.4505605,neutral
-710.9753,67.56488,5.7822413,13.230726,6.1908455,12.628252,-1.6751693,5.6574936,-4.9506335,-3.4775455,-7.416558,-1.9370041,2.2715254,-0.6112554,0.17463188,1.3954356,-2.391466,-0.6653378,1.7429574,-0.49506843,-3.0143745,-0.97913355,0.5346141,0.2684627,-2.3651776,-2.6703413,-1.3975949,-0.043934163,-2.1590412,-1.5748215,-0.40380615,-1.3296506,-2.5134048,-0.19027606,-0.6459488,-0.5539187,0.45929873,-1.5800847,-1.6476822,-1.5095106,neutral
-759.92175,75.78352,6.0236053,14.557394,6.4541874,14.631508,-3.004551,4.6209702,-5.200016,-0.70743024,-7.790287,-3.5649483,2.1809702,-1.8324066,-0.3502734,0.8292604,-2.523554,-0.6612525,2.9179914,-1.9391867,-3.0332396,-0.29330784,-0.24490705,-0.54066634,-2.9568315,-2.1041048,-1.4002062,-0.9253891,-3.722793,-1.9921645,0.20646289,-2.1885817,-2.8355007,0.46374577,-1.0191671,-1.4114406,0.3504332,-1.5198916,-1.2501123,-0.6138516,calm
-735.0066,79.09305,8.141051,11.413549,5.174124,15.393285,-2.7520719,2.9645836,-5.388972,-1.6918322,-5.8528347,-4.0432878,3.0046408,-1.0366162,-0.06775652,0.088213384,-2.2095819,-1.4559768,2.5682306,-1.5963124,-2.6786845,-1.4108758,0.11890587,-0.1272634,-2.8479033,-1.7715892,-1.8862904,-0.79116225,-3.215491,-2.1809144,0.24123263,-2.247445,-2.2200978,-0.24941179,-0.97588956,-0.95585364,-0.259044,-2.15288,-1.9730748,-1.6481354,calm
-733.5249,81.58986,4.8633575,14.423686,5.267689,13.96856,-3.0856166,7.1732454,-4.8214383,-0.9674487,-6.2504735,-3.8666399,3.3255188,-1.6680719,1.9813906,0.96502507,-2.9701676,0.92509615,2.6618714,-2.686702,-4.0897026,-1.1427792,-0.04147617,0.6396042,-4.437098,-1.978665,-1.6683793,-0.12961595,-2.6481974,-1.7407794,-0.24314992,-1.4994991,-3.4421825,1.0794883,-1.8406905,-1.1412957,-0.54689217,-1.8944058,-1.67383,-0.97683465,calm
-728.363,82.324936,7.5005765,12.542465,6.788125,14.805659,-2.9095807,6.937839,-4.84434,-1.8469232,-5.6877103,-3.6666536,2.2403512,-1.4234433,1.2192736,1.1254897,-2.7243207,0.41269568,2.779966,-1.6963865,-3.6588929,-0.6342617,-0.37053517,0.9723827,-4.1021852,-2.8252192,-1.5755265,-0.5603832,-1.8017431,-1.6020298,-0.6359763,-0.91452146,-2.7520134,0.36075652,-1.9869834,-1.1664828,-0.42687815,-2.1698256,-1.7610772,-0.407193,calm
-771.62524,83.32755,9.759607,14.268048,6.201726,16.020977,-2.8468976,4.47025,-5.536262,0.8787948,-5.3482485,-3.0295565,2.3405733,0.6652834,1.3866221,-0.022842757,-2.4285932,0.24819556,2.2790198,-1.0718266,-0.1704591,-2.2938864,0.008647349,2.5945902,-3.9040556,-2.8804717,-0.22999485,-0.634688,-3.327101,-1.5811127,0.1773049,-1.4821044,-1.4364227,0.69877553,-1.6221272,-0.73856676,-0.6342777,-1.8994281,-2.5306487,-2.0102646,calm
-733.9896,82.99157,3.796794,13.411559,3.1084962,16.039553,-5.652945,5.5606713,-7.8409877,-1.1772103,-5.7287865,-4.109694,3.8823817,-1.043491,1.004057,-1.4276097,-2.603616,-0.43864208,1.8452337,-2.6793857,-1.474066,-1.825614,-0.25426897,1.7353026,-4.238995,-2.1476486,-0.5318235,-0.107676275,-3.4672797,-1.6796225,-0.3943632,-2.1952236,-2.3580542,-0.26949853,-0.910776,-0.97108704,-1.1833146,-2.2724655,-2.1504445,-2.1373334,calm
-735.9587,83.71625,8.72074,16.973064,1.3004172,16.308208,-2.9989035,8.180385,-9.681773,1.4794084,-8.105539,-3.2144182,3.27963,0.31779978,2.817018,-0.3487214,-2.9823353,1.2632201,1.0595357,-2.9681041,-2.5794728,-1.8215864,-1.6087784,0.56213856,-4.6880345,-3.7237337,-0.39201403,0.101669595,-3.5758028,-2.9248936,0.51331097,-1.1766058,-3.2791834,0.8971122,-1.9701831,-1.853939,-0.55244946,-2.6094398,-2.0077808,-1.0270189,calm
-724.8058,83.05965,0.8636632,13.715781,5.3935223,15.342071,-3.8907716,6.682707,-9.109154,-2.3108945,-7.557554,-2.6653075,4.4087005,0.14785653,1.0969508,-0.12487274,-4.136439,-0.092556946,1.5357999,-1.9606643,-3.1209447,-1.0665368,-0.74615884,2.2444818,-4.461801,-2.8692071,-2.047135,0.80569756,-3.4585025,-1.2835168,0.7801639,-1.3988307,-2.0538995,0.4739487,-1.0737795,-0.77955693,-1.4536701,-2.325875,-2.7308962,-2.0387225,calm
-679.53876,78.69846,0.6677377,10.39002,5.20702,11.52523,-7.0435305,2.0349188,-6.769452,-3.4523165,-8.604058,-2.1430967,2.153603,-5.775893,-1.6065859,1.3426598,-3.685317,-2.2485826,2.962755,-2.2755642,-5.540474,-1.7210923,-1.0960617,-1.7761083,-3.8315887,-2.8404803,-0.49156976,-1.1081339,-4.4803314,-1.8882798,-1.4461466,-2.3935592,-3.66927,-0.49370503,-1.3198105,-3.2003286,-0.40073353,-2.3981786,-2.7368388,-1.246355,happy
-658.3063,78.063484,-0.78696334,10.139038,8.304726,12.286283,-4.871698,0.52415824,-5.5969224,-3.2145643,-9.875024,-1.7062539,3.7575347,-5.973937,-0.33157292,2.978453,-3.0217645,-2.56812,3.6451254,-2.1180203,-5.375608,-2.093978,1.6240497,-1.1843982,-3.4878762,-3.2193878,-0.42661497,-1.2460377,-5.856864,-0.6302452,-0.46622038,-1.6577942,-2.3192806,-1.458005,-1.3490732,-3.2940543,-0.007916176,-1.3784134,-3.117127,-0.79918444,happy
