filename,modality,vocal_channel,emotion,intensity,statement,repetition,actor_id,filepath
03-01-01-01-01-01-01.wav,03,01,01,01,01,01,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-01-01-01-01-01.wav
03-01-01-01-01-02-01.wav,03,01,01,01,01,02,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-01-01-01-02-01.wav
03-01-01-01-02-01-01.wav,03,01,01,01,02,01,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-01-01-02-01-01.wav
03-01-01-01-02-02-01.wav,03,01,01,01,02,02,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-01-01-02-02-01.wav
03-01-02-01-01-01-01.wav,03,01,02,01,01,01,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-01-01-01-01.wav
03-01-02-01-01-02-01.wav,03,01,02,01,01,02,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-01-01-02-01.wav
03-01-02-01-02-01-01.wav,03,01,02,01,02,01,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-01-02-01-01.wav
03-01-02-01-02-02-01.wav,03,01,02,01,02,02,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-01-02-02-01.wav
03-01-02-02-01-01-01.wav,03,01,02,02,01,01,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-02-01-01-01.wav
03-01-02-02-01-02-01.wav,03,01,02,02,01,02,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-02-01-02-01.wav
03-01-02-02-02-01-01.wav,03,01,02,02,02,01,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-02-02-01-01.wav
03-01-02-02-02-02-01.wav,03,01,02,02,02,02,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-02-02-02-01.wav
03-01-03-01-01-01-01.wav,03,01,03,01,01,01,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-03-01-01-01-01.wav
03-01-03-01-01-02-01.wav,03,01,03,01,01,02,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-03-01-01-02-01.wav
03-01-03-01-02-01-01.wav,03,01,03,01,02,01,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-03-01-02-01-01.wav
03-01-03-01-02-02-01.wav,03,01,03,01,02,02,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-03-01-02-02-01.wav
03-01-03-02-01-01-01.wav,03,01,03,02,01,01,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-03-02-01-01-01.wav
03-01-03-02-01-02-01.wav,03,01,03,02,01,02,01,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-03-02-01-02-01.wav
